Transaction                    Value    Balance 
Salary                       1000.00    1000.00 
Rent                         -500.00     500.00 
Electric Bill                -100.00     400.00 
Beer                          -45.00     355.00 
Food                          -63.00     292.00 
Gift                          100.00     392.00 
More Beer                     -85.00     307.00 
Food                          -85.00     222.00 
Tram Ticket                   -40.00     182.00 
Salary                       1000.00    1182.00 
Rent                         -500.00     682.00 
Car Tax                      -140.00     542.00 
Food                          -78.00     464.00 
Wine and Beer                 -95.00     369.00 
Coffee                         -4.75     364.25 
